,image,mask
2658,images10\22659.png,labels10\22659.png
17114,images6\14649.png,labels6\14649.png
11378,images4\08913.png,labels4\08913.png
13754,images5\11289.png,labels5\11289.png
20647,images8\18182.png,labels8\18182.png
3111,images10\23112.png,labels10\23112.png
15658,images6\13193.png,labels6\13193.png
8118,images3\05653.png,labels3\05653.png
21712,images8\19247.png,labels8\19247.png
9360,images3\06895.png,labels3\06895.png
24630,images9\22165.png,labels9\22165.png
13522,images5\11057.png,labels5\11057.png
22666,images9\20201.png,labels9\20201.png
19464,images7\16999.png,labels7\16999.png
6024,images2\03559.png,labels2\03559.png
15912,images6\13447.png,labels6\13447.png
8379,images3\05914.png,labels3\05914.png
9928,images3\07463.png,labels3\07463.png
24280,images9\21815.png,labels9\21815.png
9509,images3\07044.png,labels3\07044.png
5383,images2\02918.png,labels2\02918.png
22984,images9\20519.png,labels9\20519.png
9138,images3\06673.png,labels3\06673.png
7376,images2\04911.png,labels2\04911.png
18899,images7\16434.png,labels7\16434.png
17768,images7\15303.png,labels7\15303.png
8109,images3\05644.png,labels3\05644.png
10584,images4\08119.png,labels4\08119.png
16805,images6\14340.png,labels6\14340.png
6776,images2\04311.png,labels2\04311.png
19478,images7\17013.png,labels7\17013.png
19866,images7\17401.png,labels7\17401.png
3755,images10\23756.png,labels10\23756.png
9855,images3\07390.png,labels3\07390.png
6017,images2\03552.png,labels2\03552.png
3908,images10\23909.png,labels10\23909.png
19115,images7\16650.png,labels7\16650.png
14374,images5\11909.png,labels5\11909.png
2009,images1\02010.png,labels1\02010.png
11547,images4\09082.png,labels4\09082.png
24521,images9\22056.png,labels9\22056.png
2616,images10\22617.png,labels10\22617.png
13312,images5\10847.png,labels5\10847.png
13456,images5\10991.png,labels5\10991.png
19656,images7\17191.png,labels7\17191.png
6140,images2\03675.png,labels2\03675.png
20604,images8\18139.png,labels8\18139.png
5801,images2\03336.png,labels2\03336.png
7140,images2\04675.png,labels2\04675.png
21489,images8\19024.png,labels8\19024.png
12502,images5\10037.png,labels5\10037.png
20545,images8\18080.png,labels8\18080.png
17948,images7\15483.png,labels7\15483.png
18390,images7\15925.png,labels7\15925.png
24488,images9\22023.png,labels9\22023.png
15211,images6\12746.png,labels6\12746.png
18555,images7\16090.png,labels7\16090.png
8070,images3\05605.png,labels3\05605.png
20557,images8\18092.png,labels8\18092.png
9102,images3\06637.png,labels3\06637.png
22120,images8\19655.png,labels8\19655.png
20514,images8\18049.png,labels8\18049.png
8007,images3\05542.png,labels3\05542.png
11821,images4\09356.png,labels4\09356.png
23609,images9\21144.png,labels9\21144.png
17259,images6\14794.png,labels6\14794.png
13967,images5\11502.png,labels5\11502.png
12358,images4\09893.png,labels4\09893.png
4120,images10\24121.png,labels10\24121.png
536,images1\00537.png,labels1\00537.png
15352,images6\12887.png,labels6\12887.png
22601,images9\20136.png,labels9\20136.png
19726,images7\17261.png,labels7\17261.png
12732,images5\10267.png,labels5\10267.png
128,images1\00129.png,labels1\00129.png
8381,images3\05916.png,labels3\05916.png
6450,images2\03985.png,labels2\03985.png
3724,images10\23725.png,labels10\23725.png
11801,images4\09336.png,labels4\09336.png
19815,images7\17350.png,labels7\17350.png
18201,images7\15736.png,labels7\15736.png
534,images1\00535.png,labels1\00535.png
5084,images2\02619.png,labels2\02619.png
9156,images3\06691.png,labels3\06691.png
19722,images7\17257.png,labels7\17257.png
8293,images3\05828.png,labels3\05828.png
11927,images4\09462.png,labels4\09462.png
13980,images5\11515.png,labels5\11515.png
23473,images9\21008.png,labels9\21008.png
8719,images3\06254.png,labels3\06254.png
4931,images10\24932.png,labels10\24932.png
22608,images9\20143.png,labels9\20143.png
2306,images1\02307.png,labels1\02307.png
24327,images9\21862.png,labels9\21862.png
11979,images4\09514.png,labels4\09514.png
6826,images2\04361.png,labels2\04361.png
900,images1\00901.png,labels1\00901.png
18740,images7\16275.png,labels7\16275.png
23574,images9\21109.png,labels9\21109.png
17870,images7\15405.png,labels7\15405.png
23644,images9\21179.png,labels9\21179.png
9531,images3\07066.png,labels3\07066.png
14417,images5\11952.png,labels5\11952.png
11803,images4\09338.png,labels4\09338.png
1603,images1\01604.png,labels1\01604.png
4266,images10\24267.png,labels10\24267.png
3407,images10\23408.png,labels10\23408.png
10027,images4\07562.png,labels4\07562.png
